Rank,Title,Status,Study Results,conditions,conditions_head,Interventions,Funded Bys,Study Type,start_date,Locations,URL
622,An Open-Label Study of CC-10004 for Chronic Prostatitis/Chronic Pelvic Pain Syndrome,Completed,Has Results,Prostatitis|Chronic Prostatitis With Chronic Pelvic Pain Syndrome,pelvic,Drug: CC-10004,Other|Industry,Interventional,2008-06-01,"William Beaumont Hospital, Royal Oak, Michigan, United States",https://ClinicalTrials.gov/show/NCT00701311
623,A Mobile Intervention to Reduce Pain and Improve Health (MORPH),Recruiting,No Results Available,Chronic Pain|Obesity|Sedentary Lifestyle,Nervous System Diseases,Behavioral: MORPH,Other|NIH,Interventional,2018-08-07,"Wake Forest Baptist Medical Center Pain Center, Winston-Salem, North Carolina, United States",https://ClinicalTrials.gov/show/NCT03377634
3386,"Project CHEER (Comprehensive Headache Evaluation, Education, Relief)",Completed,No Results Available,Chronic Headache,Nervous System Diseases,Behavioral: Service delivery through a Headache Management Program,Other|U.S. Fed|Industry,Interventional,2002-06-01,"Kaiser Permanente, San Diego, California, United States|Duke University Medical Center, Durham, North Carolina, United States|Thomas Jefferson University, Philadelphia, Pennsylvania, United States",https://ClinicalTrials.gov/show/NCT00417742
3269,Effects of Aerobic Exercise Within a Behavioral Treatment Program for Chronic Headaches,Completed,No Results Available,Chronic Headaches,Nervous System Diseases,Behavioral: Behavioral Treatment for Chronic Headache- Exercise Version,Other,Interventional,2011-12-01,"University of Mississippi Medical Center, Jackson, Mississippi, United States",https://ClinicalTrials.gov/show/NCT01525303
626,Validation Study of Neuropathic Pain,Completed,No Results Available,Neuropathic Pain From Spinal Cord Injury|Diabetic Peripheral Neuropathy|Post Herpetic Pain,Nutritional and Metabolic Diseases,,Other,Observational,2007-04-01,"UW Hospitals and Clinics, Madison, Wisconsin, United States",https://ClinicalTrials.gov/show/NCT00623961
2601,Characteristics and Clinical Implications of a Clinical Decision Support System,Recruiting,No Results Available,Chronic Illness|Opioid Use|Palliative Care,Nervous System Diseases,Other: Clinical Decision Support System,Other|Industry,Interventional,2018-03-08,"MJHS Hospice and Palliative Care, New York, New York, United States|Hospice of Henderson County, Inc. d/b/a Four Seasons Compassion for Life, Flat Rock, North Carolina, United States",https://ClinicalTrials.gov/show/NCT03295097
628,Pelvic Floor Physical Therapy-Biomarkers Project,Completed,No Results Available,Pelvic Pain,pelvic,Other: Pelvic floor PT with biomarkers,Other,Observational,2011-10-01,"Beaumont Women's Urology Center, Royal Oak, Michigan, United States",https://ClinicalTrials.gov/show/NCT01669694
629,Chiropractic Management of Chronic Lower Back Pain in Older Adults,Completed,Has Results,Chronic Low Back Pain,"Muscle, Bone, and Cartilage Diseases",Procedure: Spinal Manipulation|Procedure: Detuned Ultrasound,U.S. Fed,Interventional,2008-04-01,"VA Western New York Healthcare System at Buffalo, Buffalo, New York, United States|VA Medical Center, Canandaigua, Canandaigua, New York, United States",https://ClinicalTrials.gov/show/NCT00475787
630,Endogenous Pain Facilitation and Inhibition in Postpartum Women,Completed,No Results Available,Pain Inhibition and Facilitation in Post Partum Women,labor,,Other,Observational,2013-04-01,"Wake Forest Baptist Medical Center, Winston-Salem, North Carolina, United States",https://ClinicalTrials.gov/show/NCT01843517
632,Patient Response to Spinal Manipulation,Completed,Has Results,Low Back Pain,"Muscle, Bone, and Cartilage Diseases",Other: HVLA-SM,Other|NIH,Interventional,2012-09-01,"Palmer College of Chiropractic, Davenport, Iowa, United States",https://ClinicalTrials.gov/show/NCT01670292
2304,A Safety and Effectiveness Study of Intraspinal Gabapentin (MDT2004) for the Treatment of Chronic Pain,Terminated,Has Results,Chronic Intractable Pain,Nervous System Diseases,Drug: Intraspinal Gabapentin,Industry,Interventional,2006-12-01,"Innovative Spine Care, Little Rock, Arkansas, United States|Napa Pain Institute, Napa, California, United States|Sarasota Pain Medicine Research, Sarasota, Florida, United States|WK River Cities Clinical Research Center, Shreveport, Louisiana, United States|MAPS Applied Research Center, Edina, Minnesota, United States|Mayo Clinic, Rochester, Minnesota, United States|U B Neurosurgery, Inc., Buffalo, New York, United States|The Center for Clinical Research, Winston-Salem, North Carolina, United States|Pain Research of Oregon, LLC, Eugene, Oregon, United States|Oregon Health & Science University, Neurosurgery Department, Portland, Oregon, United States|Lehigh Valley Hospital Center for Pain Management, Allentown, Pennsylvania, United States|Pinnacle Pain Medicine, Dallas, Texas, United States|Axis Spine Care/Texas Spine & Joint, Tyler, Texas, United States|Lifetree Clinical Research, Salt Lake City, Utah, United States",https://ClinicalTrials.gov/show/NCT00414466
634,Regional Interdependence of the Shoulders and Hips in Gymnasts With Low Back Pain,Withdrawn,No Results Available,Low Back Pain,"Muscle, Bone, and Cartilage Diseases",,Other,Observational,2014-08-01,"Buckeye Gymnastics, Powell, Ohio, United States",https://ClinicalTrials.gov/show/NCT02201966
635,EPT 100: Geranium Oil for the Relief of Neuropathic Pain,Completed,No Results Available,Neuropathic Pain,Nervous System Diseases,Other: Geranium oil,Other,Interventional,2008-11-01,"Pennington Biomedical Research Center, Baton Rouge, Louisiana, United States",https://ClinicalTrials.gov/show/NCT01007747
636,Cognitive Behavioral Therapy for Diabetic Neuropathic Pain,Completed,Has Results,Diabetic Peripheral Neuropathic Pain,Nutritional and Metabolic Diseases,Behavioral: CBT plus standard pharmaceutical care (CBT/SC)|Behavioral: Diabetic Education plus standard pharmaceutical care (ED/SC),U.S. Fed,Interventional,2010-03-01,"VA Connecticut Healthcare System, West Haven, Connecticut, United States|VA Connecticute Health Care System, West Haven, Connecticut, United States",https://ClinicalTrials.gov/show/NCT00829387
2518,A Safety and Effectiveness Trial of Spinal Cord Stimulation of the Dorsal Root Ganglion for Chronic Lower Limb Pain,Completed,No Results Available,Chronic Lower Limb Pain,Nervous System Diseases,Device: AXIUM Neurostimulator System|Device: Control Spinal Cord Stimulation Device,Industry,Interventional,2013-08-01,"HOPE Research - TPC, Phoenix, Arizona, United States|Pain Clinic of Monterey Bay, Aptos, California, United States|Coastal Pain Research, Carlsbad, California, United States|Neurovations, Inc., Napa, California, United States|Newport Beach Headache and Pain, Newport Beach, California, United States|Eisenhower Medical Center, Rancho Mirage, California, United States|Orthopaedic Pain Specialists, Santa Monica, California, United States|IPM Medical Group, Inc., Walnut Creek, California, United States|Florida Pain Institute, Merritt Island, Florida, United States|Holy Cross Hospital Orthopedic Institute, Oakland Park, Florida, United States|Drug Studies of America, Marietta, Georgia, United States|Comprehensive Pain and Rehabilitation, Pascagula, Mississippi, United States|Pain Management Associates, Independence, Missouri, United States|HOPE Research - LVSP, Las Vegas, Nevada, United States|Premier Pain Center, Shrewsbury, New Jersey, United States|The Center for Clinical Research, Winston-Salem, North Carolina, United States|Cleveland Clinic Foundation, Cleveland, Ohio, United States|Clinical Trials of South Carolina, Charleston, South Carolina, United States|Southeastern Spine Institute, Mt. Pleasant, South Carolina, United States|Houston Pain Centers, Houston, Texas, United States|Center for Pain Relief, Charleston, West Virginia, United States|Center for Pain Relief Tri-State, Huntington, West Virginia, United States",https://ClinicalTrials.gov/show/NCT01923285
638,Dry Needling and Knee Pain,Recruiting,No Results Available,Patellofemoral Pain Syndrome|Anterior Knee Pain Syndrome,"Muscle, Bone, and Cartilage Diseases",Procedure: Dry Needling|Procedure: Sham Dry Needling|Other: Physical Therapy,Other,Interventional,2016-08-01,"The Ohio State University Wexner Medical Center, Columbus, Ohio, United States",https://ClinicalTrials.gov/show/NCT02890485
1806,Milnacipran for Migraine Pain,Completed,No Results Available,Chronic Migraine,Nervous System Diseases,Drug: Milnacipran|Drug: Placebo,Other,Interventional,2011-06-01,"Mercy Health Research, St. Louis, Missouri, United States|Headache Wellness Center, Greensboro, North Carolina, United States",https://ClinicalTrials.gov/show/NCT01393522
640,Trial of Analgesia With Lidocaine or Extended-release Oxycodone for Neuropathic Pain Treatment in Multiple Sclerosis,Terminated,Has Results,Neuropathic Pain|Chronic Pain|Multiple Sclerosis,Nervous System Diseases,Drug: Lidocaine patch 5%|Drug: Extended-release oxycodone|Drug: Placebo extended-release oxycodone pills|Drug: Placebo lidocaine patches,Other|Industry,Interventional,2007-01-01,"University of Rochester Medical Center, Rochester, New York, United States",https://ClinicalTrials.gov/show/NCT00414453
3683,Occipital Nerve Stimulation for the Treatment of Chronic Migraine Headache.,Completed,No Results Available,Chronic Migraine Headache,Nervous System Diseases,Device: Occipital Nerve Stimulation,Industry,Interventional,2004-05-01,"Contact Medtronic for Exact Location, Scottsdale, Arizona, United States|Contact Medtronic for Exact Locations, Oceanside, California, United States|Contact Medtronic for Exact Locations, Denver, Colorado, United States|Contact Medtronic for Exact Locations, Ann Arbor, Michigan, United States|Contact Medtronic for Exact Locations, Detroit, Michigan, United States|Contact Medtronic for Exact Locations, Oklahoma City, Oklahoma, United States|Contact Medtronic for Exact Locations, Philadelphia, Pennsylvania, United States|Contact Medtronic for Exact Location, Calgary, Alberta, Canada|Contact Medtronic for Exact Location, London, United Kingdom",https://ClinicalTrials.gov/show/NCT00200109
642,A Behavioral Intervention for Depression and Chronic Pain in Primary Care,Recruiting,No Results Available,Chronic Pain|Depression,Behaviors and Mental Disorders,Behavioral: RELIEF,Other,Interventional,2018-02-01,"Weill Cornell Internal Medicine Associates, New York, New York, United States|Iris Cantor Men's & Women's Health Centers, New York, New York, United States",https://ClinicalTrials.gov/show/NCT03265210
643,Effects of Smoked Marijuana on Neuropathic Pain,Completed,No Results Available,Neuropathic Pain,Nervous System Diseases,Drug: Cannabis,Other,Interventional,2003-11-01,"UC Davis Medical Center, Sacramento, California, United States",https://ClinicalTrials.gov/show/NCT00254761
644,Impact of Home Exercise Delivery on Compliance & Outcomes for Musculoskeletal Pain,Recruiting,No Results Available,"Chronic Pain|Compliance, Patient|Chronic Low Back Pain|Knee Pain Chronic","Muscle, Bone, and Cartilage Diseases",Other: Number of Exercises|Other: Type of Instruction|Other: Delivery Type|Other: Mobile Reminder,U.S. Fed,Interventional,2018-01-12,"Brooke Army Medical Center, San Antonio, Texas, United States",https://ClinicalTrials.gov/show/NCT03470753
3464,Treatment of Chronic Migraine Headaches.,Recruiting,No Results Available,"Chronic Migraine Without Aura, Intractable|Migraine With Typical Aura|Migraine Disorders",Nervous System Diseases,"Combination Product: Dexamethasone, Lidocaine, Thiamine cohort",Other,Interventional,2017-07-01,"Corona Doctors Medical Clinics Inc, Corona, California, United States",https://ClinicalTrials.gov/show/NCT03220113
646,Neurophysiological Effects on tPCS and tDCS on Healthy Subjects and on Patients With Chronic Visceral Pain,Completed,No Results Available,Visceral Pain|Pancreatitis|Pelvic Pain,pelvic,Device: Active tPCS|Device: Active tDCS|Device: Sham tPCS|Device: Sham tDCS,Other,Interventional,2015-07-01,"Spaulding Rehabilitation Network Research Institute, Charlestown, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT02497196
647,Anesthesia for Pain After Ankle Fracture Surgery,Recruiting,No Results Available,Chronic Pain|Ankle Fracture Surgery|Regional Anesthesia,Wounds and Injuries,Drug: Ropivacaine|Procedure: Nerve block,Other,Interventional,2018-03-05,"University of Cincinnati Medical Center, Cincinnati, Ohio, United States",https://ClinicalTrials.gov/show/NCT02950558
648,Study to Characterize the Effects of Programming Spinal Cord Stimulation (SCS) in Patients Undergoing a Boston Scientific (BSC) SCS Temporary Trial,Recruiting,No Results Available,Chronic Pain,Nervous System Diseases,Device: Programming,Industry,Interventional,2016-12-01,"Boston Scientific Clinical Research Information Toll Free Number, Valencia, California, United States",https://ClinicalTrials.gov/show/NCT02988713
3367,A Retrospective Study to Evaluate the Effectiveness and Benefit of onabotulinumtoxinA in Patients With Chronic Migraines,Completed,Has Results,"Chronic Migraine, Headaches",Nervous System Diseases,Biological: onabotulinumtoxinA,Industry,Observational,2013-05-01,"Encinitas, California, United States",https://ClinicalTrials.gov/show/NCT01749410
1540,Integrating Patient Reported Outcomes (I-PRO) Study for Multidisciplinary Pain Care,Completed,No Results Available,Chronic Noncancer Pain,Nervous System Diseases,Other: Providers of Novel Care|Other: Providers of Usual Care,Other|Industry,Interventional,2014-07-01,"Family Medicine at Hampton Oaks, Gainesville, Florida, United States|Family Medicine at Haile Plantation, Gainesville, Florida, United States|Eastside Community Practice, Gainesville, Florida, United States|Family Medicine at Jonesville, Gainesville, Florida, United States",https://ClinicalTrials.gov/show/NCT02188667
